callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[t],H2O[t],Soot[t],SOx[t],NOx[t],CO[t],HC[t]
SVA038,42713.0,6062.26815639,36095.07718872286,114.06044391636352,44.39694494212917,0.0010828523156616791,0.04331409262646707,0.5255786284459582,0.07253512248412158,0.0068507846978953495
GTI4326,36358.0,4628.12843331,28129.12686920128,88.88804090667497,34.59882604911725,0.0008438738060760371,0.033754952243041626,0.3850576447640924,0.062476825344042766,0.0055188537732534385
KLM602,42605.0,4944.90039897,33940.573703271625,107.25221290233847,41.746905655024236,0.0010182172110981516,0.04072868844392617,0.45909356582528305,0.06691418549095023,0.005629737067225238
DAL444,30574.0,3780.28218782,24557.139559337934,77.60056100750737,30.20528165798559,0.0007367141867801366,0.02946856747120549,0.34610978997981584,0.04982671571864117,0.004358268037828024
DLH457,36903.0,5079.41252301,29104.152315590056,91.9691213172643,35.79810734817567,0.0008731245694677081,0.0349249827787079,0.4179127633893714,0.06170390007828693,0.006111095276539061
DLH491,35708.0,4603.00836787,71653.490358293,226.42502953220426,88.13379314069945,0.0021496047107487865,0.08598418842995154,1.157710736727699,0.13712960694129106,0.003958272855409511
UAL931,28851.0,3473.35577032,23064.455400266713,72.88367906484237,28.369280142327746,0.0006919336620079958,0.02767734648031983,0.3309907602348426,0.045503265157161535,0.003990922338993556
UAL952,29786.0,3964.51258827,23857.795319450478,75.39063320946433,29.34508824292433,0.0007157338595835195,0.028629354383340733,0.3538885165520591,0.04876720743120088,0.004733826410906473
UAL990,40789.0,5022.39366198,29921.583660411823,94.5522043669031,36.80354790230665,0.0008976475098123642,0.035905900392494666,0.4175898990917725,0.066479156894508,0.006530085776850293
KLM676,29804.0,3843.54993275,56344.50195503321,178.0486261779073,69.30373740469125,0.0016903350586510084,0.06761340234604021,0.9562043597952523,0.10986027378326715,0.0036438642032844584
BAW282,38923.0,4823.6273644,28826.543408016413,91.09187716933207,35.45664839186027,0.0008647963022404874,0.03459185208961915,0.4127804806969067,0.059493759295430694,0.005495451249582226
AFR019,28841.0,3242.10350454,20693.40163292959,65.39114916005796,25.452884008503574,0.0006208020489878912,0.02483208195951567,0.3051859509319918,0.041811384330012906,0.004142841597624728
NRS7108,35774.0,4659.01731291,27078.390460617996,85.56771385555395,33.306420266560494,0.0008123517138185363,0.03249406855274168,0.40654742347690154,0.053425582984370806,0.005461149911752892
