callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
SVA038,42583.0,6062.25302496,35996.755806687135,113749.7483491313,44276.00964222588,1.079902674200617,43.19610696802475,524.2784820355909,72.32180738904718,6.832486937927356
GTI4326,36334.0,4628.09222039,28116.20877451329,88847.21972746201,34582.9367926511,0.843486263235395,33.73945052941583,384.908750395362,62.420953980086004,5.513745125183422
KLM602,42703.0,4944.89467668,34004.72579442311,107454.93351037745,41825.81272714087,1.0201417738327025,40.80567095330778,459.7922852730057,67.06981306295485,5.64008030851636
DAL444,30485.0,3780.30710514,24494.908973529604,77403.91235635376,30128.738037441675,0.7348472692058933,29.393890768235764,345.359398376694,49.62403136909795,4.340823430389584
DLH457,36743.0,5079.38627924,29001.99991993928,91646.31974700844,35672.45990152537,0.8700599975981852,34.80239990392754,416.677890875667,61.33752198405502,6.078211514159591
DLH491,35498.0,4603.00728116,71294.70613558711,225291.2713884552,87692.48854677283,2.138841184067631,85.55364736270482,1152.761171215493,136.00500200778941,3.9029569919826397
UAL931,28839.0,3473.32065393,23059.58604950664,72868.29191644103,28363.29084089303,0.6917875814851945,27.671503259408098,330.95615922235385,45.493636704699206,3.9907023849685745
UAL952,29732.0,3964.53281477,23813.275865916483,75249.95173629464,29290.329315077004,0.7143982759774941,28.575931039099345,353.2583469574651,48.645361052465546,4.722201905243443
UAL990,40781.0,5022.38590921,29917.558736534025,94539.48560744668,36798.597245936784,0.897526762096019,35.90107048384073,417.5534284444566,66.45604452593372,6.5282696783655005
KLM676,29887.0,3843.55020864,56479.89064546822,178476.4544396786,69470.26549392511,1.6943967193640466,67.77586877456153,958.1145977173627,110.36227866981429,3.675181808896756
BAW282,38965.0,4823.62696288,28851.98339325458,91172.26752268421,35487.93957370322,0.8655595017976394,34.62238007190563,413.0300321782789,59.56487571687406,5.500463734148997
AFR019,28871.0,3242.11459802,20716.978765207896,65465.65289805714,25481.883881205675,0.6215093629562333,24.860374518249444,305.5061853894843,41.872925094312585,4.148101980465709
NRS7108,35731.0,4659.01505051,27048.378904749283,85472.87733900762,33269.506052841716,0.811451367142476,32.45805468569921,406.1388509229222,53.351162225260694,5.454268189170426
DAL476,31721.0,3354.26087789,56932.60614620825,179907.03542201742,70027.10555983646,1.70797818438625,68.31912737545028,943.5411893387192,115.34927275152516,4.166927784561277
CFG063,39002.0,4945.12960368,29337.46329358696,92706.38400773353,36085.07985111191,0.8801238988076031,35.204955952304395,432.6339896031903,57.312479952314135,5.537177746152188
DAL162,31868.0,3626.12880289,22364.90919354772,70673.11305161148,27508.83830806371,0.6709472758064332,26.837891032257367,327.46569729845356,45.895750947910145,4.352349638485783
AFR689,34512.0,3886.81944796,23541.124907673642,74389.95470824934,28955.583636438758,0.7062337472302211,28.249349889208574,341.18152734864185,50.162708293898504,4.950698759614318
UAL923,39810.0,4810.58906138,27352.24494658304,86433.09403120173,33643.261284297354,0.8205673483974953,32.82269393589985,400.75365959113674,56.846579586892666,5.847358910578432
KLM606,42151.0,4862.35764121,29780.99198628117,94107.9346766494,36630.62014312558,0.8934297595884354,35.73719038353716,430.1513298243374,60.08049331127353,5.668439643383491
VIR6J,37663.0,3907.45347295,64718.39070731213,204510.1146351076,79603.62056999383,1.9415517212193651,77.66206884877501,1070.7345421100144,123.60626608627143,3.809178470907402
