callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
SVA038,42570.0,6062.26910436,35990.83150085074,113731.02754268872,44268.72274604676,1.0797249450255255,43.18899780102076,524.2491535930061,72.30432380735637,6.831961908866896
GTI4326,36071.0,4628.10040284,27978.149645029993,88410.95287829467,34413.124063386764,0.8393444893508998,33.57377957403622,383.4437516088231,61.65767658750379,5.444450542242563
KLM602,42571.0,4944.92108351,33888.57126398692,107087.8851941993,41682.94265470375,1.0166571379195999,40.66628551678408,458.2100296906255,67.07490247311327,5.645740090970862
DAL444,30384.0,3780.55016294,24430.177988018633,77199.36244213875,30049.11892526289,0.7329053396405559,29.31621358562234,344.63576831575455,49.290493166589656,4.310198285124463
DLH457,36630.0,5079.52879819,28933.773973300504,91430.72575562951,35588.54198715949,0.8680132191990114,34.7205287679605,415.8304980623274,61.08170332290431,6.054092147847859
DLH491,35449.0,4603.0811388,71231.24933030555,225090.74788376258,87614.43667627568,2.1369374799091845,85.47749919636598,1151.892444947798,135.42211230077677,3.851065987026778
UAL931,28874.0,3473.37345723,23083.946352794086,72945.27047482922,28393.254013936796,0.6925183905838266,27.70073562335298,331.28767079618774,45.53975282826454,3.9945550143259725
UAL952,29614.0,3964.74665135,23717.899849164936,74948.56352336083,29173.016814472747,0.7115369954749422,28.46147981899783,351.93182951612283,48.460252207389644,4.705180695963216
UAL990,40683.0,5022.44421061,29864.894832065813,94373.0676693281,36733.820643441206,0.8959468449619782,35.83787379847926,416.9848889061375,66.14886688590576,6.499436483890082
KLM676,29799.0,3843.55034752,56294.28306325874,177889.93447989816,69241.96816780868,1.6888284918977734,67.5531396759108,955.148149578244,110.14660639581889,3.6835280784680466
BAW282,38936.0,4823.70614516,28837.338580069703,91125.98991301948,35469.92645348521,0.865120157402077,34.60480629608311,412.90828721421695,59.48555194942929,5.493864130458477
AFR019,29051.0,3242.02970781,20839.686011734873,65853.40779708237,25632.81379443399,0.6251905803520401,25.007623214081857,307.0699334619621,42.17616284533567,4.1746061933875245
NRS7108,35751.0,4658.81805643,27068.758106529687,85537.275616633,33294.57247103132,0.8120627431958845,32.482509727835485,406.4612676197487,53.36643944308645,5.455981407481012
DAL476,31760.0,3354.23715457,57004.811099423416,180135.20307417883,70115.91765229081,1.7101443329827033,68.40577331930893,944.4690377536377,115.90027311871519,4.215193268817862
CFG063,38970.0,4945.17256173,29328.005229304665,92676.49652460225,36073.44643204475,0.8798401568791364,35.193606275165614,432.61093404989657,57.08850960376832,5.515365144593514
DAL162,31728.0,3626.16990833,22265.213895020424,70358.07590826452,27386.21309087514,0.6679564168506136,26.71825667402462,326.1811429472052,45.582293602992586,4.323934883984493
AFR689,34536.0,3886.74327744,23559.36129502851,74447.58169229024,28978.014392885096,0.7067808388508547,28.271233554034243,341.4851056116597,50.21366771376525,4.956602896239299
UAL923,39691.0,4810.60722954,27272.118454554384,86179.89431639161,33544.70569910201,0.8181635536366386,32.72654214546522,399.75457885636564,56.62384039998966,5.827066702331139
KLM606,42129.0,4862.32225366,29748.275908753574,94004.55187166015,36590.37936776637,0.8924482772625992,35.697931090504675,429.6324840513537,60.20744448083538,5.682462663392953
VIR6J,37951.0,3907.50326444,65244.61436770895,206172.9814019599,80250.87567228227,1.957338431031268,78.2935372412506,1078.3172906481873,124.86422322062313,3.856240000540998
VIR106F,37904.0,4204.21417971,24606.31448334056,77755.95376735603,30265.766814509236,0.7381894345002091,29.527577380008697,354.6551028060934,51.97924289567828,5.1234269647425865
NRS4BX,41125.0,4779.47155673,27627.762625803007,87303.72989753792,33982.148029738026,0.8288328787740936,33.153315150963934,408.93295764443377,55.92523041749844,5.693818889780179
THY80L,42570.0,4220.39831157,27882.447313280984,88108.53350996885,34295.41019533553,0.8364734193984409,33.45893677593743,393.5944005049019,53.87776549575209,4.649765564118657
ISS9BG,35852.0,3554.79144209,55458.50775827227,175248.88451613873,68213.96454267426,1.6637552327481506,66.55020930992637,949.803230474393,111.64355144537586,4.09161499545317
THY10,56603.0,6183.95286865,37710.2545914334,119164.40450892954,46383.61314746302,1.1313076377430082,45.252305509719925,522.6883654750304,81.67340871419138,7.200194527009168
BAW280,42042.0,4828.07952459,27654.579426076234,87388.47098640012,34015.13269407348,0.8296373827822855,33.185495311291035,414.1814641667867,54.38981809670753,5.518009847961839
ETD76T,59381.0,6485.15382873,39542.45001092469,124954.14203452249,48637.21351343739,1.1862735003277407,47.45094001310985,555.5374015220242,82.39536452315915,7.252548814322794
UAE5RQ,37311.0,3554.91345786,21854.064255083635,69058.84304606491,26880.49903375283,0.6556219276525143,26.22487710610059,320.66886348624104,47.94029916237989,4.851043740421588
BAW89P,44646.0,4755.71747554,26973.85522713392,85237.38251774285,33177.841929374765,0.8092156568140197,32.368626272560604,386.20343578178677,57.41687479030633,5.70373485641084
VIR20V,45015.0,4687.81373091,27374.903345732226,86504.69457251337,33671.13111525056,0.8212471003719631,32.84988401487834,391.584718095282,57.74873430548528,5.508746057495134
ETD140,57658.0,6148.48549201,36789.37922045095,116254.43833662281,45250.93644115478,1.1036813766135156,44.14725506454055,515.9919331558253,78.10615249154247,7.026413762105067
AZA61CM,39753.0,3789.52787334,57795.72360622358,182634.4865956654,71088.74003565474,1.7338717081867046,69.35486832746835,969.9819116717505,109.26429422374706,3.244246845296285
ACA836,37436.0,3332.25133394,20674.01973745006,65329.90237034197,25429.044277063473,0.6202205921234938,24.808823684939828,299.581068794518,43.77819896299416,4.13817444212276
UAL938,38913.0,3473.33662641,22307.638961568755,70492.13911855705,27438.39592272945,0.6692291688470554,26.76916675388258,327.1788145067073,43.64844356135276,4.019968643099733
BAW72A,47597.0,4839.65951121,28782.134875865642,90951.54620773517,35402.025897315034,0.8634640462759757,34.53856185103872,412.280216655025,57.93001735771482,5.349852641938073
TPA4047,45299.0,4132.75340188,65340.38846656009,206475.6275543296,80368.67781386875,1.9602116539967973,78.40846615987161,1079.972091280506,131.21447708323763,4.270651884533107
UAL930,50332.0,4658.96139523,29378.74412364273,92836.83143071053,36135.85527208056,0.8813623237092806,35.25449294837116,408.42484077919596,62.206284006468195,5.508373995401528
SWR39,52871.0,5154.94306564,31214.934684716718,98639.19360370678,38394.369662201556,0.9364480405415074,37.45792162166033,442.80705573279573,64.69382019039055,5.835495408254981
BAW38P,47114.0,4679.02660733,26887.325653132255,84963.94906389891,33071.41055335278,0.8066197695939628,32.26479078375879,395.22865159439976,53.64470100957201,5.220629057778117
NAX4PF,42589.0,3793.58347167,21487.587138772655,67900.7753585209,26429.732180690113,0.6446276141631742,25.785104566527025,320.921283566388,42.84119892306034,4.664738151294259
BAW6B,49393.0,4741.53948779,27390.680214726537,86554.54947853643,33690.53666411402,0.821720406441801,32.86881625767231,409.94618803103225,54.33172900179892,5.514317347305059
VIR42X,50670.0,4721.85520309,27209.35807666612,85981.57152226525,33467.510434299365,0.8162807422999824,32.65122969199959,408.7719152946389,53.922993584892694,5.563495251170567
BAW274,52288.0,4611.97729219,27579.754989587902,87152.025767098,33923.09863719312,0.8273926496876355,33.095705987505525,394.73006312994823,56.39078356582395,5.24967002317692
BAW268,53991.0,4820.27122688,28149.893732619894,88953.66419507939,34624.369291122566,0.8444968119785992,33.779872479143705,406.8218679089021,58.050561837359865,5.669460857577463
DLH459,57702.0,5197.29845581,29522.35306974495,93290.63570039306,36312.49427578632,0.8856705920923453,35.42682368369339,423.2004469266901,62.813173683817865,6.118790164287977
BAW8C,52603.0,4184.78648288,25926.18764937915,81926.75297203842,31889.210808736276,0.777785629481379,31.111425179255164,374.35613641697523,52.2222809030714,4.840187660768842
THY6320,59998.0,5111.59053576,31711.483296487975,100208.28721690165,39005.12445467978,0.9513444988946362,38.053779955785615,491.05837899782114,56.57355840670308,5.6791977166298855
