fid,original_fl_ft,new_fl_ft,offset_ft,triggered_by_pair
287756669,31479.0,32479.0,1000.0,287756669<->287758669
287758304,33029.0,34029.0,1000.0,287758304<->287759048
287757988,31515.0,32515.0,1000.0,287757988<->287758112
287758616,33941.0,34941.0,1000.0,287757702<->287758616
287759004,30939.0,31939.0,1000.0,287782452<->287759004
287782500,33974.0,34974.0,1000.0,287758983<->287782500
287783597,34222.0,35222.0,1000.0,287783464<->287783597
287783531,32740.0,33740.0,1000.0,287782737<->287783531
287791479,30783.0,31783.0,1000.0,287791062<->287791479
287798226,32033.0,33033.0,1000.0,287798237<->287798226
