identifier,base_fid,direction,actype,origin,destination,spawn_time,del_time,spawn_lat,spawn_lon,spawn_alt_ft,spawn_mass_kg,n_waypoints
287746831,287746831,eastbound,A359,CYYZ,HAAB,15:30:13.04,21:46:01.51,46.934861,-68.519522,29683.0,253979.6330080314,56
287747247,287747247,eastbound,A359,KIAD,HAAB,15:32:41.00,22:12:18.32,41.53442,-69.321192,28957.0,254875.3,59
287749449,287749449,eastbound,B789,KIAD,HECA,16:29:30.38,23:23:03.52,42.424187,-69.751224,32011.0,229120.00437541198,78
287747899,287747899,eastbound,B788,KORD,HAAB,16:58:11.06,23:22:17.28,48.862373,-68.426016,32592.0,202297.38614531973,54
287750775,287750775,eastbound,B789,CYYZ,HECA,17:11:33.26,23:40:57.67,48.138894,-68.672518,32374.0,227064.9425740924,75
287751075,287751075,eastbound,B77W,KJFK,HECA,17:58:00.00,24:18:40.51,43.775046,-65.929661,28620.0,324733.5,76
287752146,287752146,eastbound,B789,KJFK,LGAV,18:27:00.00,24:54:24.86,43.830569,-66.453039,31943.0,229678.2,88
287754873,287754873,eastbound,A339,KBOS,LGAV,19:39:00.00,25:46:50.18,45.70831,-63.961539,30638.0,224772.0,86
287755571,287755571,eastbound,A333,KJFK,LGAV,19:55:00.00,26:24:39.02,44.245765,-67.043561,33922.0,196582.7,87
287755377,287755377,eastbound,A343,KIAD,EDDF,20:06:37.82,26:41:54.83,44.791214,-68.433568,26992.0,253120.88882214788,117
287756166,287756166,eastbound,B78X,KEWR,LGAV,20:19:00.00,26:50:11.96,44.303025,-67.354499,33596.0,225541.4,87
287755868,287755868,eastbound,B744,KJFK,EDDF,20:21:00.00,26:54:08.52,44.584192,-67.326047,28203.0,365594.3,122
287755858,287755858,eastbound,B789,CYYZ,LIMC,20:26:55.08,26:48:11.05,49.046191,-68.641629,32567.0,226762.59228300478,103
287756394,287756394,eastbound,A339,KJFK,EDDF,20:27:00.00,27:04:17.33,44.563293,-67.423294,30706.0,224747.7,122
287756603,287756603,eastbound,B764,KEWR,LEPA,20:31:00.00,26:48:27.38,43.665825,-67.052832,29060.0,188125.6,108
287756619,287756619,westbound,B744,EBLG,KORD,20:34:00.00,25:46:58.69,54.183856,-2.461399,28149.0,365691.7,81
287756648,287756648,eastbound,B763,KEWR,LIRN,20:36:00.00,27:05:02.13,44.302544,-67.055445,31078.0,172550.1,98
287756441,287756441,eastbound,A339,KJFK,LIRF,20:43:00.00,27:10:10.65,44.229333,-66.797968,30734.0,224595.7,101
287756501,287756501,eastbound,A332,CYUL,DAAG,20:43:29.00,26:46:50.74,47.882153,-65.506988,33319.0,213276.4,103
287756277,287756277,eastbound,A339,KBOS,EDDF,20:47:00.00,27:01:57.97,46.112636,-64.247064,30698.0,224755.2,116
287757130,287757130,eastbound,B788,KPHL,LGAV,20:52:00.00,27:32:32.07,43.604198,-68.504265,30680.0,211620.6,88
287756925,287756925,eastbound,B763,KJFK,EKCH,21:01:00.00,27:40:18.36,45.020499,-67.843042,31058.0,172702.4,122
287756969,287756969,eastbound,A339,KBOS,LIRF,21:07:00.00,27:12:10.54,45.686973,-63.757518,30703.0,224680.4,100
287756885,287756885,eastbound,B77W,KJFK,LFPG,21:10:00.00,27:17:02.00,44.376668,-67.188798,28639.0,325263.9,115
287757487,287757487,eastbound,B789,KJFK,LIRF,21:18:00.00,27:46:27.52,44.308628,-66.72309,32018.0,229606.6,101
287756581,287756581,eastbound,A333,KRDU,EDDF,21:22:07.98,28:14:08.04,43.4832,-68.485233,34506.0,194084.03061824787,113
287755686,287755686,eastbound,B763,KATL,LFPG,21:26:12.12,27:37:26.18,46.734207,-68.719605,32497.0,166630.33616464408,99
287757220,287757220,eastbound,A339,KBOS,EHAM,21:27:00.00,27:18:33.42,46.204654,-64.321096,30703.0,224751.0,109
287757569,287757569,westbound,B788,EGLL,SKBO,21:27:00.00,27:31:11.36,49.821898,-10.301253,30685.0,211306.0,77
287757690,287757690,eastbound,A333,KEWR,EKCH,21:28:31.23,28:09:32.87,45.491798,-67.918605,34021.0,196348.20083481178,121
287755310,287755310,eastbound,A333,KORD,LSZH,21:28:35.12,27:45:56.10,51.65975,-68.279283,34831.0,191574.1220493514,94
287755847,287755847,eastbound,B763,KATL,LIPZ,21:29:53.55,28:01:54.00,46.631116,-68.34593,32509.0,166613.4227611488,86
287757621,287757621,eastbound,B764,KEWR,EDDB,21:31:00.00,28:16:44.22,44.765405,-67.866461,29080.0,188088.4,114
