identifier,base_fid,direction,actype,origin,destination,spawn_time,del_time,spawn_lat,spawn_lon,spawn_alt_ft,spawn_mass_kg,n_waypoints
262145517,262145517,eastbound,B744,KATL,EBLG,17:55:53.85,24:16:59.69,39.378451,-68.295292,36687.0,303664.8431180891,106
262128830,262128830,eastbound,B77L,KCVG,EDDP,19:48:43.57,24:44:32.56,46.3699,-52.784016,41441.0,254530.25254318625,89
262124737,262124737,eastbound,A333,KIAD,EDDF,20:21:43.65,27:13:39.47,40.663665,-67.984731,37347.0,194632.65235268828,113
262138722,262138722,eastbound,A346,KJFK,EDDF,20:29:47.19,26:59:01.42,41.149139,-67.854242,36161.0,286828.19276782626,113
262155515,262155515,eastbound,A333,KBOS,LIRF,20:43:02.46,27:16:30.47,41.437614,-67.700686,36397.0,197075.71962343203,106
262145628,262145628,eastbound,B77L,KCVG,EDDP,20:47:57.98,25:32:33.88,49.813772,-53.293058,42343.0,239027.8817644783,77
262144471,262144471,eastbound,A333,KATL,EHAM,20:58:16.14,27:48:40.08,38.725583,-69.055374,38261.0,191771.9637438136,107
262156053,262156053,eastbound,A339,KJFK,EDDF,20:59:34.00,27:48:01.69,41.296184,-67.913056,36468.0,208887.44030560288,113
262142018,262142018,eastbound,A333,KJFK,LSZH,21:03:24.26,27:51:18.33,40.623834,-67.892742,36678.0,196057.66631116558,113
262138096,262138096,eastbound,B763,KJFK,LIRF,21:13:04.23,27:42:11.68,40.615825,-68.104395,35671.0,165206.50281621114,103
262146723,262146723,eastbound,A333,KBOS,LSZH,21:20:56.18,28:04:44.01,41.739293,-67.77052,36373.0,197082.23430884836,111
262143879,262143879,eastbound,B77W,KJFK,LFPG,21:23:11.24,27:33:17.04,40.764787,-67.882024,35749.0,277882.94763114164,110
262130494,262130494,eastbound,A359,KATL,LFPG,21:25:28.60,27:58:02.83,38.425566,-69.480176,38619.0,232109.9498430492,108
262126327,262126327,eastbound,B763,KJFK,EDDB,21:30:32.03,28:26:54.71,41.369968,-67.829467,35816.0,162417.63789512325,116
262129674,262129674,eastbound,B772,KJFK,LIRF,21:31:31.45,27:46:51.32,41.307625,-67.776243,35927.0,237037.93211267225,103
262143791,262143791,eastbound,B772,KCLT,EIDW,21:39:05.66,27:07:49.72,39.567576,-68.164598,37469.0,223870.95999416025,99
262124920,262124920,eastbound,A333,KORD,LSZH,21:39:59.93,28:26:58.13,41.205408,-67.836177,38415.0,191105.5022935529,97
262123660,262123660,eastbound,B772,KCLT,EDDM,21:41:16.17,28:14:20.52,39.289564,-68.382245,37079.0,234809.30112436393,103
262150206,262150206,eastbound,A333,KATL,EDDF,21:41:47.58,28:53:03.55,38.55786,-69.432364,38207.0,191980.67123488197,106
262139962,262139962,eastbound,A332,KBOS,LIRF,21:44:00.72,28:09:33.59,41.180291,-68.155421,36024.0,204915.5397729444,106
262131941,262131941,westbound,A333,LPPT,BIKF,21:48:38.27,24:37:27.03,43.866229,-9.724928,39315.0,184943.8885672872,49
262153668,262153668,eastbound,B772,KCLT,EDDF,22:01:15.68,28:41:08.92,39.40269,-68.254052,37100.0,232449.70415811043,110
262129872,262129872,eastbound,B772,KBOS,LFPG,22:04:44.60,27:45:07.03,42.675118,-62.812543,35682.0,225323.69684252059,101
262153283,262153283,eastbound,B788,MDPC,EGCC,22:08:02.23,28:04:52.45,30.985122,-60.841974,41784.0,175313.3548509861,102
262137632,262137632,eastbound,B772,KJFK,LFPG,22:08:14.61,28:21:58.93,40.812324,-67.989305,35800.0,229130.41298536028,111
262149847,262149847,eastbound,B789,KJFK,EHAM,22:10:41.95,28:19:01.10,41.48518,-67.803534,36664.0,200577.29813910727,110
262135608,262135608,westbound,B748,ESSA,CYMX,22:12:01.47,27:36:48.61,62.700976,4.707897,37175.0,376639.6992886084,97
262124668,262124668,eastbound,B77W,KJFK,LFPG,22:12:40.65,28:21:38.38,41.185191,-67.908377,35821.0,277961.0599592356,109
262138092,262138092,eastbound,B763,KEWR,EDDM,22:12:54.23,28:59:10.65,41.707274,-67.837372,35904.0,162830.7889644431,113
262155160,262155160,eastbound,A346,KJFK,EDDM,22:15:47.14,28:48:16.32,41.345597,-67.911894,35961.0,289697.49948107504,114
262123573,262123573,eastbound,B763,CYYT,EBLG,22:21:00.00,26:54:19.89,48.226945,-49.366111,40258.0,151136.2,79
262150939,262150939,eastbound,A332,CYUL,DAAG,22:21:11.58,27:19:25.11,44.246298,-56.778905,39527.0,198434.6659133879,84
262125737,262125737,eastbound,A333,KIAD,EIDW,22:21:22.77,28:03:09.64,40.725262,-67.949596,37441.0,194656.34213487516,91
262147671,262147671,eastbound,B764,KJFK,LFMN,22:22:13.22,28:53:15.82,40.81211,-67.972835,33718.0,180256.24035087437,111
262144207,262144207,eastbound,B763,KIAD,LOWW,22:22:58.23,29:16:09.93,40.869784,-68.242001,36240.0,165555.37702583632,106
262142566,262142566,eastbound,B78X,KORD,EDDF,22:23:42.75,27:25:57.55,58.135103,-63.156751,40509.0,216852.39112724506,83
262135323,262135323,westbound,A333,LEBL,BIKF,22:24:11.12,24:01:56.60,53.562361,-9.131331,39890.0,180681.6299092801,30
262133296,262133296,eastbound,A333,KIAD,EHAM,22:24:16.08,29:00:00.52,40.53656,-67.756811,37330.0,194599.85160182024,110
262132369,262132369,eastbound,B772,KIAD,LFPG,22:24:37.55,28:39:11.48,40.321328,-68.075337,36504.0,229065.0707168194,111
262131469,262131469,eastbound,B789,KDTW,EDDF,22:25:54.36,27:13:08.16,50.203306,-53.687194,41079.0,188821.57480764945,83
