day,status,flights,skipped,spawn_vs_spawn_initial,spawn_vs_spawn_remaining,grace_delayed,grace_movedback,grace_dropped,rejected_at_spawn
20251215,ok,958,0,10,2,11,0,0,0
20250708,ok,1250,0,7,2,12,0,0,0
20250408,ok,1065,0,13,0,13,0,0,0
20250424,ok,1137,0,15,2,8,0,0,0
20250122,ok,759,0,3,0,0,0,0,0
20250614,ok,1369,0,11,2,8,0,0,0
20250111,ok,831,0,3,0,3,0,0,0
20250714,ok,1436,0,7,1,12,0,0,0
20230610,ok,1257,0,2,1,5,0,0,0
20230620,ok,1166,0,4,2,10,0,0,0
20250219,ok,791,0,2,0,3,0,0,0
20250530,ok,1303,0,8,1,6,0,0,0
20240703,ok,1186,0,15,3,8,0,0,0
20240716,ok,1337,0,13,3,20,1,0,0
